thing,stuff,Name
1,2,Naoki Abe
1,2,Myriam Abramson
1,2,David W. Aha
1,2,Kamal M. Ali
1,2,Eric Allender
1,2,Dana Angluin
1,2,Chidanand Apte
1,2,Minoru Asada
1,2,Lars Asker
1,2,Javed Aslam
1,2,Haralabos Athanassiou
1,2,Jose L. Balcazar
1,2,Timothy P. Barber
1,2,Michael W. Barley
1,2,Cristina Baroglio
1,2,Peter Bartlett
1,2,Eric Baum
1,2,Welton Becket
1,2,Shai Ben-David
1,2,George Berg
1,2,Neil Berkman
1,2,Malini Bhandaru
1,2,Bir Bhanu
1,2,Reinhard Blasig
1,2,Avrim Blum
1,2,Anselm Blumer
1,2,Justin Boyan
1,2,Carla E. Brodley
1,2,Nader Bshouty
1,2,Wray Buntine
1,2,Andrey Burago
1,2,Tom Bylander
1,2,Bill Byrne
1,2,Claire Cardie
1,2,Richard A. Caruana
1,2,John Case
1,2,Jason Catlett
1,2,Nicolo Cesa-Bianchi
1,2,Philip Chan
1,2,Mark Changizi
1,2,Pang-Chieh Chen
1,2,Zhixiang Chen
1,2,Wan P. Chiang
1,2,Steve A. Chien
1,2,Jeffery Clouse
1,2,William Cohen
1,2,David Cohn
1,2,Clare Bates Congdon
1,2,Antoine Cornuejols
1,2,Mark W. Craven
1,2,Robert P. Daley
1,2,Lindley Darden
1,2,Chris Darken
1,2,Bhaskar Dasgupta
1,2,Brian D. Davidson
1,2,Michael de la Maza
1,2,Olivier De Vel
1,2,Scott E. Decatur
1,2,Gerald F. DeJong
1,2,Kan Deng
1,2,Thomas G. Dietterich
1,2,Michael J. Donahue
1,2,George A. Drastal
1,2,Harris Drucker
1,2,Chris Drummond
1,2,Hal Duncan
1,2,Thomas Ellman
1,2,Tapio Elomaa
1,2,Susan L. Epstein
1,2,Bob Evans
1,2,Claudio Facchinetti
1,2,Tom Fawcett
1,2,Usama Fayyad
1,2,Aaron Feigelson
1,2,Nicolas Fiechter
1,2,David Finton
1,2,John Fischer
1,2,Paul Fischer
1,2,Seth Flanders
1,2,Lance Fortnow
1,2,Ameur Foued
1,2,Judy A. Franklin
1,2,Yoav Freund
1,2,Johannes Furnkranz
1,2,Merrick L. Furst
1,2,Jean Gabriel Ganascia
1,2,William Gasarch
1,2,Ricard Gavalda
1,2,Melinda T. Gervasio
1,2,Yolanda Gil
1,2,David Gillman
1,2,Attilio Giordana
1,2,Kate Goelz
1,2,Paul W. Goldberg
1,2,Sally Goldman
1,2,Diana Gordon
1,2,Geoffrey Gordon
1,2,Jonathan Gratch
1,2,Leslie Grate
1,2,William A. Greene
1,2,Russell Greiner
1,2,Marko Grobelnik
1,2,Tal Grossman
1,2,Margo Guertin
1,2,Tom Hancock
1,2,Earl S. Harris Jr.
1,2,David Haussler
1,2,Matthias Heger
1,2,Lisa Hellerstein
1,2,David Helmbold
1,2,Daniel Hennessy
1,2,Haym Hirsh
1,2,Jonathan Hodgson
1,2,Robert C. Holte
1,2,Jiarong Hong
1,2,Chun-Nan Hsu
1,2,Kazushi Ikeda
1,2,Masayuki Inaba
1,2,Drago Indjic
1,2,Nitin Indurkhya
1,2,Jeff Jackson
1,2,Sanjay Jain
1,2,Wolfgang Janko
1,2,Klaus P. Jantke
1,2,Nathalie Japkowicz
1,2,George H. John
1,2,Randolph Jones
1,2,Michael I. Jordan
1,2,Leslie Pack Kaelbling
1,2,Bala Kalyanasundaram
1,2,Thomas E. Kammeyer
1,2,Grigoris Karakoulas
1,2,Michael Kearns
1,2,Neela Khan
1,2,Roni Khardon
1,2,Dennis F. Kibler
1,2,Jorg-Uwe Kietz
1,2,Efim Kinber
1,2,Jyrki Kivinen
1,2,Emanuel Knill
1,2,Craig Knoblock
1,2,Ron Kohavi
1,2,Pascal Koiran
1,2,Moshe Koppel
1,2,Daniel Kortenkamp
1,2,Matevz Kovacic
1,2,Stefan Kramer
1,2,Martinch Krikis
1,2,Martin Kummer
1,2,Eyal Kushilevitz
1,2,Stephen Kwek
1,2,Wai Lam
1,2,Ken Lang
1,2,Steffen Lange
1,2,Pat Langley
1,2,Mary Soon Lee
1,2,Wee Sun Lee
1,2,Moshe Leshno
1,2,Long-Ji Lin
1,2,Charles X. Ling
1,2,Michael Littman
1,2,David Loewenstern
1,2,Phil Long
1,2,Wolfgang Maass
1,2,Bruce A. MacDonald
1,2,Rich Maclin
1,2,Sridhar Mahadevan
1,2,J. Jeffrey Mahoney
1,2,Yishay Mansour
1,2,Mario Marchand
1,2,Shaul Markovitch
1,2,Oded Maron
1,2,Maja Mataric
1,2,David Mathias
1,2,Toshiyasu Matsushima
1,2,Stan Matwin
1,2,Eddy Mayoraz
1,2,R. Andrew McCallum
1,2,L. Thorne McCarty
1,2,Alexander M. Meystel
1,2,Michael A. meystel
1,2,Steven Minton
1,2,Nina Mishra
1,2,Tom M. Mitchell
1,2,Dunja Mladenic
1,2,David Montgomery
1,2,Andrew W. Moore
1,2,Johanne Morin
1,2,Hiroshi Motoda
1,2,Stephen Muggleton
1,2,Patrick M. Murphy
1,2,Sreerama K. Murthy
1,2,Filippo Neri
1,2,Craig Nevill-Manning
1,2,Andrew Y. Ng
1,2,Nikolay Nikolaev
1,2,Steven W. Norton
1,2,Joseph O'Sullivan
1,2,Dan Oblinger
1,2,Jong-Hoon Oh
1,2,Arlindo Oliveira
1,2,David W. Opitz
1,2,Sandra Panizza
1,2,Barak A. Pearlmutter
1,2,Ed Pednault
1,2,Jing Peng
1,2,Fernando Pereira
1,2,Aurora Perez
1,2,Bernhard Pfahringer
1,2,David Pierce
1,2,Krishnan Pillaipakkamnatt
1,2,Roberto Piola
1,2,Leonard Pitt
1,2,Lorien Y. Pratt
1,2,Armand Prieditis
1,2,Foster J. Provost
1,2,J. R. Quinlan
1,2,John Rachlin
1,2,Vijay Raghavan
1,2,R. Bharat Rao
1,2,Priscilla Rasmussen
1,2,Joel Ratsaby
1,2,Michael Redmond
1,2,Patricia J. Riddle
1,2,Lance Riley
1,2,Ronald L. Rivest
1,2,Huw Roberts
1,2,Dana Ron
1,2,Robert S. Roos
1,2,Justinian Rosca
1,2,John R. Rose
1,2,Dan Roth
1,2,James S. Royer
1,2,Ronitt Rubinfeld
1,2,Stuart Russell
1,2,Lorenza Saitta
1,2,Yoshifumi Sakai
1,2,William Sakas
1,2,Marcos Salganicoff
1,2,Steven Salzberg
1,2,Claude Sammut
1,2,Cullen Schaffer
1,2,Robert Schapire
1,2,Mark Schwabacher
1,2,Michele Sebag
1,2,Gary M. Selzer
1,2,Sebastian Seung
1,2,Arun Sharma
1,2,Jude Shavlik
1,2,Daniel L. Silver
1,2,Glenn Silverstein
1,2,Yoram Singer
1,2,Mona Singh
1,2,Satinder Pal Singh
1,2,Kimmen Sjolander
1,2,David B. Skalak
1,2,Sean Slattery
1,2,Robert Sloan
1,2,Donna Slonim
1,2,Carl H. Smith
1,2,Sonya Snedecor
1,2,Von-Wun Soo
1,2,Thomas G. Spalthoff
1,2,Mark Staley
1,2,Frank Stephan
1,2,Mandayam T. Suraj
1,2,Richard S. Sutton
1,2,Joe Suzuki
1,2,Prasad Tadepalli
1,2,Hiroshi Tanaka
1,2,Irina Tchoumatchenko
1,2,Brian Tester
1,2,Chen K. Tham
1,2,Tatsuo Unemi
1,2,Lyle H. Ungar
1,2,Paul Utgoff
1,2,Karsten Verbeurgt
1,2,Paul Vitanyi
1,2,Xuemei Wang
1,2,Manfred Warmuth
1,2,Gary Weiss
1,2,Sholom Weiss
1,2,Thomas Wengerek
1,2,Bradley L. Whitehall
1,2,Alma Whitten
1,2,Robert Williamson
1,2,Janusz Wnek
1,2,Kenji Yamanishi
1,2,Takefumi Yamazaki
1,2,Holly Yanco
1,2,John M. Zelle
1,2,Thomas Zeugmann
1,2,Jean-Daniel Zucker
1,2,Darko Zupanic
1,2,American Express
1,2,American Express co
1,2,Walmart company holdings
1,2,Walmart company holding
